City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
132,Harper,LR,79.93,light rain,4.375,-7.7169,Screensaver
135,Cabo San Lucas,MX,85.6,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
138,Kalabo,ZM,70.09,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
143,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
146,Poum,NC,77.95,few clouds,-20.2333,164.0167,
147,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
148,Buala,SB,78.78,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
151,Waingapu,ID,80.55,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
152,Sao Felix Do Xingu,BR,73.33,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
155,Caravelas,BR,74.88,light rain,-17.7125,-39.2481,Pousada dos Navegantes
160,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
162,Planeta Rica,CO,83.17,overcast clouds,8.4147,-75.5883,HOTEL MEDIA LUNA
169,Half Moon Bay,US,71.58,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
170,Ikorodu,NG,82.2,overcast clouds,6.6191,3.5041,Holis Resort
172,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
176,Lompoc,US,72.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
181,Atar,MR,78.1,clear sky,20.5169,-13.0499,Oumou Elghoura
182,Orange Cove,US,75.79,scattered clouds,36.6244,-119.3137,
185,Maues,BR,74.37,moderate rain,-3.3836,-57.7186,Hotel Miramar
186,Hobyo,SO,82.27,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
190,Dhaka,BD,82.38,haze,23.7104,90.4074,Hotel Pacific
191,Bonfim,BR,76.48,overcast clouds,3.0833,-59.95,
193,Martapura,ID,74.91,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
194,Ambulu,ID,75.81,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
195,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
196,Fayetteville,US,75.72,clear sky,35.0527,-78.8784,American Eagle Inn
197,Sambava,MG,76.77,moderate rain,-14.2667,50.1667,Melrose
198,Ewa Beach,US,84.15,scattered clouds,21.3156,-158.0072,Base Lodging
200,Limbang,MY,78.91,broken clouds,4.75,115.0,Purnama Hotel
201,Bahia Honda,CU,79.56,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
202,Axim,GH,80.01,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
208,Kupang,ID,79.77,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
209,Sao Joao Da Barra,BR,72.59,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
215,Mae Sai,TH,80.4,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
216,Riyadh,SA,80.74,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
217,Kassala,SD,86.94,scattered clouds,15.451,36.4,Amassi Hotel Gash
219,Alofi,NU,84.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
220,Barahona,DO,84.02,scattered clouds,18.2085,-71.1008,Hotel Caribe
223,Faanui,PF,82.2,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
228,Nsanje,MW,74.23,clear sky,-16.92,35.262,Nsanje Discovery Lodge
230,Miri,MY,77.14,light rain,4.4148,114.0089,"Mega Hotel, Miri"
232,Tahta,EG,72.63,clear sky,26.7693,31.5021,فندق الزيات
235,Candido Mendes,BR,75.09,overcast clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
238,Vila Velha,BR,76.95,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
242,Mitu,CO,74.23,overcast clouds,1.1983,-70.1733,
243,Ippy,CF,72.55,overcast clouds,6.2679,21.2247,
244,Samdari,IN,78.82,clear sky,25.8167,72.5833,Karnoba Ki Dhani
249,Vanimo,PG,81.79,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
252,Jibuti,DJ,74.52,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
256,Moindou,NC,78.08,scattered clouds,-21.6924,165.677,Equi-lodge de Moindou
257,Bubaque,GW,74.62,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
258,Itarema,BR,78.6,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
260,Arlit,NE,82.94,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
264,Kilindoni,TZ,81.99,moderate rain,-7.9139,39.6668,Bustani B&B
266,Padang,ID,78.33,overcast clouds,-0.9492,100.3543,Mercure Padang
269,Bara,NG,84.33,overcast clouds,10.3744,10.7288,
285,Sola,VU,81.73,overcast clouds,-13.8833,167.55,Leumerus Bungalows
286,Brazzaville,CG,70.84,overcast clouds,-4.2658,15.2832,Hotel Muesse
289,Arenapolis,BR,71.64,scattered clouds,-14.4503,-56.8461,Mato Grosso Hotel
291,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
296,Puerto Escondido,MX,86.16,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
301,Pedasi,PA,83.07,broken clouds,7.5333,-80.0333,Selina Pedasi
304,Victoria,HK,72.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
305,Bulolo,PG,77.61,overcast clouds,-7.2,146.65,Pine Lodge Bulolo
306,Mazamari,PE,72.1,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
309,Tomatlan,MX,84.07,overcast clouds,19.9333,-105.25,El Salvial
311,Morro Bay,US,77.18,broken clouds,35.3658,-120.8499,Inn at Morro Bay
315,Pyapon,MM,79.38,clear sky,16.2833,95.6833,Aung Naing Thu Motel
316,Dhidhdhoo,MV,84.09,scattered clouds,6.8833,73.1,Dhidhoo beach
318,Russell,US,81.68,clear sky,32.3502,-85.1999,Macs
323,Puerto Cabezas,NI,85.96,scattered clouds,14.0351,-83.3888,Cabaña Caribe
326,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
327,Tautira,PF,81.27,few clouds,-17.7333,-149.15,Pension Oaoa
330,Itacoatiara,BR,74.62,heavy intensity rain,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
331,Sao Jose Da Coroa Grande,BR,80.26,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
332,Mayo,US,70.5,clear sky,38.8876,-76.5119,Resorts Resource Group International
334,Saint-Joseph,RE,71.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
336,Honiara,SB,80.11,overcast clouds,-9.4333,159.95,Heritage Park Hotel
337,Pacifica,US,70.41,scattered clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
339,Meulaboh,ID,76.82,broken clouds,4.1363,96.1285,Kost Pria
340,Road Town,VG,78.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
344,Soyo,AO,78.08,overcast clouds,-6.1349,12.3689,Hotel Mpampa
345,Marsh Harbour,BS,71.38,moderate rain,26.5412,-77.0636,Abaco Beach Resort
346,Alta Floresta,BR,73.17,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
348,Salalah,OM,80.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
350,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
